files,raw_texts
Docs\art-et-culture\document_07f955705bbaf61a59490aa34c0af42c52d208de512890190557b9ffc588227f.txt,أعلنت قناة الشارقة الإماراتية عن شروعها في عرض أولى حلقات المسلسل الدرامي المغربي الشهير “بنات العساس”، بعدما تم الحصول على حقوق توزيعه لتتم دبلجته باللهجة السورية في خطوة هي الأولى في تاريخ الأعمال المغربية. السيناريست المغربية بشرى ملاك، مؤلفة “بنات العساس”، عبرت، في تصريح لهسبريس، عن سعادتها البالغة بمرور مسلسلها في قناة عربية، معتبرة أنها تعد خطوة أولى في تحقيق أكبر أحلامها والتي تتجلى في تسويق المنتوج المغربي خارج الحدود. وتابعت ملاك أنها لطالما صرحت برغبتها في تسويق الإنتاجات الدرامية المغربية على غرار الأغنية المغربية لكي يصبح كل العرب على معرفة بثقافتنا وليس فقط من لديهم إمكانيات زيارة المغرب، مضيفة أن أمنيتها الدخول إلى البيوت العربية كلها من الشرق إلى الخليج عبر قنوات أخرى وأن ترى في يوم من الأيام المسلسل المغربي معروضا بلغته الأم دون دبلجة ويفهمه الجميع. وأبرزت السيناريست المغربية، في حديثها مع هسبريس، أنها كانت على علم بالخطوات الأولى في هذا الموضوع وتتابعه؛ لكن لم تكن تعرف موعد إنجازه، مشيرة إلى أن هذه المسألة منظومة معقدة قليلا وتمر عبر مراحل لتقوم الشركة الموزعة للعمل بدبلجته. وقالت المتحدثة ذاتها إن هذه الخطوة تمثل نجاحا كبيرا للمسلسل ونجاحا للمجموعة والطاقم بأكمله، معربة عن شكرها لكل من وضع ثقته في المنتوج المغربي ومتمنية أن تكون البداية فقط وأن يهتم موزعون آخرون بالشأن الفني المغربي لكي نصبح على غرار المصريين وعند فتح قنوات في دبي أو لبنان نجد مسلسلا مغربيا معروضا عليها. وعن نجاح الدراما المغربية عربيا، كشفت ملاك في تصريحها أن هذا الأمر سابق لأوانه ولا يمكن الحكم على ذلك حاليا؛ لأن هذا أول عمل يصدر، لذلك تجب رؤية ردة فعل الشارع العربي ورؤية ما هو قادم وهل ستكرر هذه التجربة أم تبقى وحيدة.
Docs\art-et-culture\document_0d40c16faa841137c6c0a0ad916e1e397f5e04dd19d8feae601ccaac2fd6a54c.txt,انطلقت مساء الاثنين بمسرح محمد الخامس بالرباط، فعاليات الدورة الأولى من مهرجان المسرح الإفريقي، التي تنظمها وزارة الشباب والثقافة والتواصل، بشراكة مع جمعية شعاع القمر، في إطار فعاليات الرباط عاصمة للثقافة الإفريقية. وتميز حفل افتتاح المهرجان، الذي ينظم تحت الرعاية السامية للملك محمد السادس بتكريم المخرج والممثل والكاتب المالي، حبيب ديمبيلي، الذي تسلم ذرع المهرجان احتفاء بمالي كضيفة شرف لهذه الدورة. كما شهد الحفل تقديم أعضاء لجنة تحكيم الدورة، ويتعلق الأمر بكل من الممثلة الفرنسية ناتالي فيراك، والمخرج المسرحي من إفريقيا الوسطى، فنسنت مامباشاكا، والمخرج والممثل الإيفواري، فارجاس اساندي، والمخرجة والكاتبة المسرحية المغربية، نعيمة زيطان، إضافة إلى مدير الفضاء الثقافي غامبيدي في بوركينافاسو، كلود كوينكان.
Docs\art-et-culture\document_0e90edd30b99ad992d2ea0a9328087c64b255cd1dbaa6a721468f01cfb97ecdb.txt,إسهام جديد ينضاف إلى المكتبة الدينية المغربية تحت عنوان ”الإرث الصوفي التجاني – الفصل في ثبات الأصل”، صدر عن مركز المغرب الأقصى للدراسات والأبحاث، للباحث منتصر حمادة، وبتقديم من الباحث محمد التهامي الحراق. ويهتم هذا المؤلف بالزاوية التجانية التي تعتبر عمليا إحدى أهم الطرق الصوفية في شمال وغرب إفريقيا، وبالتحديد في دول جنوب الساحل، والتي أسسها الصوفي أحمد التجاني، دفين مدينة فاس. وفي تصريح لـ هسبريس، فسر منتصر حمادة اهتمامه بموضوع “التجانية” بسعي إلى ”تسليط الضوء على المقدمات التي تقف وراء هذا الإشعاع المحلي والقاري الذي يميز الزاوية التجانية”. وتطلب هذا العمل، وفق المصرح، “التوقف عند مسار مؤسس الزاوية الشيخ أحمد التجاني، ومسار أهم أعلام الزاوية التجانية، على اعتبار أن هذا التراكم النظري والعملي كان سببا مباشرا وراء هذا الإشعاع الإقليمي والدولي الذي يميز التصوف التجاني”، الذي من بين أعلامه “الشيخ مالك سي، والشيخ عمر الفوتي، وأخيرا الشيخ إبراهيم انياس”. وأضاف حمادة سببا آخر لصدور هذا المؤلّف الجديد، هو: ”تدبير الإرث الصوفي التجاني في المنطقة، مع ما يتطلبه من عقد مقارنة بين طبيعة هذا التدبير في كل من المغرب والجزائر، والتوقف بالتالي عند الفوارق الصريحة بين النموذجين”. وأبرز المتحدث ”الفوارق الدينية والسياسية والثقافية” بين التجربتين، و”خاصة الفوارق في التعامل مع التصوف بين الأمس واليوم في البلدين، التي كانت في مقدمة الأسباب الواقفة وراء التباين الكبير في تفاعلهما”. “لهذا اشتغل الكتاب على القلاقل الجزائرية التي ساهمت في التأثير السلبي على التصوف التجاني هناك، من قبيل تبعات السياسات الجزائرية بخصوص القطيعة مع العمل الصوفي في حقبة ماضية، سواء من قبل مؤسسات دينية أو من قبل فاعلين سياسيين في مرحلة ما بعد الاستقلال، أو مع ما صدر عن المؤسسة العسكرية؛ وفي الحالات الثلاث كان التصوف في الجزائر، ومنه التصوف التجاني، عرضة للتضييق والحصار والتهميش”، يورد الكاتب ذاته. يذكر أن “الإرث الصوفي التجاني” كتابٌ يقدم “قراءة بانورامية” لمعالم هذا التدين، محليا وقاريا، ويقرب من معالم الدراسات التي حررت حوله في بلدان مثل المغرب والجزائر والسنغال وفرنسا وإسبانيا وإيطاليا وألمانيا وأمريكا، كما يتوقف عند الفوارق القائمة بين المغرب والجزائر بخصوص تدبير هذا الإرث.
Docs\art-et-culture\document_1059c1f60e0667421c99d844e59a4da4a53a1692634b7091a6a1963a1b7e630e.txt,منسلاً من بَيْداء السّرد، ممتطيا صهوة مُهْرَة الحنين الى نَسَبِهِ الشعري، يهدينا عبد العزيز كوكاس جديده الشعري، في مُستَهَلّ سنة 2023، وإنْ كان لا يجرُؤُ على تَسمية ما يكتبه شعرا بل هو شيء كالشعر، وأنَّه لم يكتب بعد القصيدة التي يحلم بكتابتها. في مُستَهَلِّ صفحات “لو كان بالإمكان”، يهدي عبد العزيز ما خَطَّهُ يَراعُه إلى “أمي التي تشبهُ القصيدة، وأستحي من أن أسمِّيَ دونها شعرا…”. ذلكم هو عبد العزيز كوكاس، وتلك هي شِنْشِنَتُهُ في القول والكتابة. إنَّه حالة لا هي بالشعر ولا بالسَّرد، فهو ضد تجنيس ما يخطه يَراعُه المشاكس. هو دوما مقاتل جسور ضد المسلمات واليقينيات. فلو كان بالإمكان- يقول كوكاس- “لهرولت مع الريح برشاقة ريشة مَرحة بلا أثر، ولا اتكأت على ظلي…”. “لو كان بالإمكان”، بحثٌ عن نقاء الجذور، عن المعنى واللاّمعنى، حيث الشاهد شهيداً، وحيث تنبثق من كل الجهات رائحة يوسف، وبسمتهُ الفضِّية، وحزن يعقوب. صفحات “لو كان بالإمكان”، البالغة 124 صفحة وعدد قصائده البالغة 33 قصيدة، مليئة بِدْيَاليكتيك الاستعارات النابضة بالوجع والفرح، بالوجود والعدم، بالولادة والهَباء، بالغموض المُخاتل حيث الأقدام أطول من الجرح. في “لو كان بالإمكان” يسائل كوكاس اسمه والْتِبَاساته بقسوة وعناد: “يا اسمي، يا ظلي المتَلَبِسُ بي، كيف تكبر معي مثل جلدي؟”، وفي ومضه مباغتة يكشف الشاعر عن سِنِّه بخجل مُرٍّ: “خمسة عقودٍ ونيف وأنا أتدثر باسمي. والأسماء هل تليق بنا أم نليق بها؟” في أكثر من نص يحاور كوكاس ويجادل الأسماء: “أين ترحل الأسماء بعد فناء الأجسام فينا؟” ثم يصف الاسم بالنشيد الأول. وبطراوة لغته الآسرة يفسح كوكاس المجال لحقول الذاكرة بالعودة إلى مقروءاته التي تنم عن سعة اطلاع، سواء في الأدب أو الفلسفة، من كوجيطو ديكارت و”الوجود والعدم” لجان بول سارتر إلى “الشيخ والبحر” لهيمنجواي ومن نابوليون الى فان غوغ وبودلير وغير ذلك من الإحالات في خلطة إبداعية. وخلاصة القول فإن قارئ “لو كان بالإمكان” سيستمتع بلذة القراءة مرددا في الختام: “آه لو كان بالإمكان ألاّ تكون لهذه السانفونية الشعرية نهاية”.
Docs\art-et-culture\document_1196f9cbb4086ada0a8a7a920a10d0d5e39fbc12b3961ba1fe7ef9bb351ba920.txt,عمل مونوغرافي هو الأول من نوعه صدر حول تجربة النحات والتشكيلي المغربي عبد الكريم الوزاني، الذي يعد من “رواد الحداثة الفنية المغربية”. هذه المونوغرافيا الصادرة عن “كاليري كينت” بطنجة، شارك في إعدادها مؤرخون للفنون ونقاد فنيون وباحثون في حقل الفنون البصرية، هم: موليم لعروسي وشرف الدين ماجدولين وعبد الكريم الشيكر وفيليب بولون. ووفق معلومات استقتها هسبريس، فإن أهمية هذا العمل الجديد يتجلى في إخراج مونوغرافيا “تحليلية متكاملة تسعى إلى الإحاطة بمجمل الإنتاج الصباغي والنحتي لعبد الكريم الوزاني على امتداد أزيد من ثلاثة عقود، علما أن هذا الفنان لم يسبق أن صدرت مونوغرافيا حول مساره الفني الطويل، رغم صدور عدة كتب جميلة، وعدة أوراق نقدية منشورة في الصحافة؛ لكنها لم تتوج بعمل مونوغرافي دقيق وشامل”. لهذا، “كان هذا الحرص من طرف الرواق والباحثين لإصدار هذا العمل، وتوفير مادة معرفية وفنية للباحثين في حقل الفنون البصرية بالمغرب، واستكمال عمل عدد من الباحثين نشروا مونوغرافيات أهم رواد الفن في المغرب، مثل عبد الكبير ربيع وسعد بن السفاج، وآخرين؛ وهي تشكل الآن رصيدا نقديا وتحليليا وتاريخيا هاما في هذا الحقل”. وحظي هذا العمل بـ”دعم كبير من الفنان الذي حرص على توفير المادة الفنية، ومختلف المرجعيات النقدية التي صدرت عنه، وتوجد في أرشيفه”، ثم امتد الاشتغال أكثر من سنتين قبل أن يصدر في شهر أبريل الجاري. ويهتم الكتاب بالمنجز الفني للوزاني، ومحطات تطوره، ومرجعيات مبدعه، وأثره، علما أنه من “رواد الحداثة المغربية، وصاحب انعطافة أساسية في الأسلوب التشكيلي داخل مدرسة تطوان، الذي كان معروفا بنزعته التشخيصية المسترسلة عبر الزمن، منذ مرحلة ما قبل الاستقلال”. وتجلت انعطافة الوزاني في “ذلك النزوع إلى تقديم عمل قد يبدو لنا في البداية طفوليا، يشتغل على مادة لَعِبية، لها أفقها التجريدي الواضح، دون مغادرة الحيز التشخيصي العام الذي كانت عليه المدرسة؛ فالوزاني تشخيصي خارج التشخيص وتجريدي خارج التجريد، حيث يجمعهما معا، ويسعى لخلق مواءمة بين الأسلوبين تقدم اقتراحا بصريا له فرادته وله بلاغته وقدرته على الإقناع”. كان عبد الكريم الوزاني في بدايته “لا يحظى بإقبال جامعي التحف الفنية في الحقل البصري بتطوان، المتعودين على نمط معين؛ بل كان، إلى حدود أواخر الثمانينات، لا يبيع بقدر ما يبيع زملاؤه وجيله. وكان من يقتني أعماله، وفق شهادته، يؤثث بها غرف الأطفال، أي إنها لم تكن تعتبر أعمالا جدية”. لكن، مع مواصلة “عمله وتطوير اقتراحاته” استطاع الوزاني “إعادة تشكيل المزاج العام، وإعادة تشكيل طبيعة التلقي في محيطه والمحيط المغربي والجوار؛ فمنحوتاته تؤثث اليوم مجموعة من الفضاءات المتوسطية، وهو الآن من بين الفنانين الأساسيين الذين تؤثث منحوتاتهم الفضاءات العمومية المغربية، في شوارع تطوان وفاس والرباط مثلا، لا في الأروقة والمتاحف والمجموعات الخاصة فقط”.
Docs\art-et-culture\document_11afaa2295cfa0d2b547d07271892f936a68f250768a1f7ec9eda7f32dfaf0a2.txt,اهتمام أكاديمي مغربي مستمر بتاريخ شمال إفريقيا القديم، يحضر في استكتاب فتح لتوثيق نصف قرن من الجهود البحثية في تاريخ المنطقة القديم، ورؤاها، بين سنتي 1970 و2020. استكتابُ المؤلف الجماعي الجديد، فتحه فريق البحث “المغرب وبلدان الساحل والصحراء: تاريخ وتراث”، التابع لكلية الآداب والعلوم الإنسانية بجامعة ابن زهر، وتضم لجنته العلمية أساتذة باحثين من جامعات أكادير ووجدة ومراكش ومن المعهد الملكي للثقافة الأمازيغية. يهتم هذا المولود البحثي المرتقب بمجال وسكان شمال إفريقيا القديم وهويته الثقافية، والكيانات السياسية المحلية وإشكالية العلاقات مع القوى المتوسطية، وأشكال ومجال التدخلات الأجنبية الفينيقية والرومانية والوندالية والبيزنطية، والمواقف المحلية منها، والمعتقد والدين والتدين بشمال إفريقيا القديم، وحجم وعمق انتشارها، وواقع وآفاق البحث في هذا المجال، وممكنات الاهتمام العلمي في ضوء الكتابات المعاصرة ومستجدات البحث الأركيولوجي. تقول ديباجة الاستكتاب إن واقع البحث التاريخي المغربي حول تاريخ شمال إفريقيا القديم، رغم ما حقق عبر عقود، يستدعي اليوم “وقفات وتساؤلات متعددة”. وتنطلق الديباجة من تشخيص المؤرخ عبد الله العروي لواقع البحث في شمال إفريقيا القديم إلى حدود أواخر الستينات، حين كتب في “مجمل تاريخ المغرب”: “لم يول المغاربة المعاصرون اهتماما كبيرا للحقبة التي نناقش أخبارها، فارتكبوا بذلك خطأ فادحا”، و”رأوا المستعمرين يمجدون روما فانحازوا تلقائيا إلى جانب قرطاج، خضوعا للأسطورة القائلة إن شمال إفريقيا منطقة يتجاذبها باستمرار الشرق والغرب”. وتتساءل ديباجة الفريق العلمي للمشروع البحثي: “إذا كان هذا هو الوضع عموما إلى حدود أواخر ستينات القرن الماضي، فما حصيلة البحث اليوم بعد مرور أزيد من نصف قرن على هذا التشخيص؟ خاصة وأن تاريخ المنطقة في العهود القديمة قد شهد منذ ذلك الحين اهتماما متزايدا كما يبرهن على ذلك ارتفاع عدد المؤتمرات والمناظرات والإصدارات المغاربية والغربية على حد سواء، التي لها صلة بالموضوع”. ومن المرتقب أن يسلط هذا العمل الضوء على “الدراسات والأبحاث المعاصرة التي شكلت منطقة شمال إفريقيا القديمة موضوعا لها”، مع “تحديد معالمها وملامحها، وإبراز أهم المواضيع التي استأثرت أكثر من غيرها باهتمام الباحثين والدارسين”. كما يعتزم هذا العمل مساءلة “الأسباب العميقة التي كانت وما تزال تحول دون حصول إجماع أو توافق بين المعاصرين إن على مستوى التحقيبات، أو المصطلحات، أو الأحداث وما ارتبط بها من تأويلات أو تمثلات، لتشكل موضوع نقاش بين ثلة من الباحثين في التاريخ القديم بأجيالهم المختلفة على حد السواء”.
Docs\art-et-culture\document_16e0f0cce23beff36d97014013c720436bc5048de7153095449acb37c185bcd2.txt,علمت هسبريس من مصدر مطلع أن قناة “ام بي سي 5” قررت توقيف تصوير مسلسل مغربي تم الشروع فيه قبل أسابيع، وذلك بسبب مشاكل على مستوى الإخراج، وليس لأسباب تسويقية مثلما تم تداوله. وأبرز مصدر هسبريس أن الشركة التي تكلفت بإنتاج المسلسل علقت التصوير إلى أجل غير مسمى بعد رفض قناة “ام بي سي مغرب”، التي تعاقدت معها بخصوص المشروع، المشاهد الأولية التي توصلت بها لعدم رضاها على مستوى الإخراج، مضيفا أنه لم يتم الحسم بعد في إمكانية العودة إلى التصوير. ورجح المصدر ذاته أن توكل مهمة إخراج المسلسل إلى شخص آخر، خاصة أن السيناريو أثار إعجاب القناة وتراهن على عرضه ضمن شبكة برامجها المتنوعة التي تنفتح على الإنتاجات المغاربية. ويحمل المسلسل عنوان “أحلام بنات”، وهو من تأليف مشترك ليحيى فاندي وعدنان موحجة، ويضم ثلة من ألمع نجوم الساحة الفنية المغربية، أبرزهم عبد الحق بلمجاهد، ساندية تاج الدين، ناصر أقباب، رضى العلوي، سلوى زرهان، ربيع الصقلي، وحنان الخضر التي عادت إلى الساحة بعد سنوات من الاعتزال. وحاولت هسبريس التواصل مع مخرجة المسلسل للاستفسار حول الموضوع، لكنها رفضت التعليق واكتفت بالقول: “لا أعرف شيئا”.
Docs\art-et-culture\document_16ef772b150ac1a6d6402fabf4bbc23f933f8813486a2d6efd9d7812f995094a.txt,صدر للكاتب والمترجم المغربي نبيل موميد كتاب بعنوان “من العالم الآخر، نظرات في الفعل الإبداعي العالمي”، وذلك في مائتي صفحة من القطع المتوسط عن دار خطوط وظلال للنشر والتوزيع الأردنية. وأوضح موميد أن “الإبداع بكل تجلياته وفي مختلف أشكاله سيبقى إلى الأبد الروح التي تحلق بالأمم والشعوب عاليا نحو القيم المثلى في أسمى تجلياتها، وصوب اللا مفكر فيه وغير المتوقع وغير المألوف، بيْد أنه في الآن ذاته سبيل هام من سبل الانخراط المحموم في نقد الواقع والبحث عن بدائله الممكنة، وطريق رئيس في تاريخ الشعوب لتحقيق التغيير المنشود”. وأضاف الكاتب: “من هذا المنطلق، يعبر الأدب عن هواجس الشعوب، وعن أفكار المبدعين بوصفهم جزءا لا يتجزأ من المجموع الذي يعيشون في كنفه، وهو في هذا يعد مصاحبا للإنسان في حله وترحاله، سواء أكان منتجا له أم مستهلكا، أم هما معا”، مشيرا إلى أن “من المشروع أن نعتبر الأدب أُسَّ الحياة، وعنصرا لازما في تشكيل الذائقة الجماعية، وتحديد القيم المشتركة داخل المجتمع، وترسيخ تصورات معينة حول مختلف القضايا، مادية معيشة كانت أو فكرية معنوية”. وقال موميد: “في هذا الإطار، وداخل هذا الجو، تحاول أبواب هذا السِّفْرِ وأقسامه أن تقدم صورة – أبعد ما تكون عن الشمول بطبيعة الحال – موجزة عن مختلف تمظهرات الأدب، نقدا ولاسيما إبداعا، في عدد من بقاع المعمور، وعبر مراحل زمانية متعددة”. وأشار صاحب الإصدار إلى أن هذا السِّفر يتكون من أربعة أبواب، الأول موسوم بـ”في حضرة الأساطين”، ويتكون من ثلاثة أقسام هي “أسرار وخبايا”، و”ثنائيات”، و”نصوص حارقة”، والباب الثاني موسوم بـ”حول الفن الروائي: رؤى جديدة”، ويتكون من قسمين اثنين هما “نظرية الرواية وملامح التغيير”، و”الرواية والخيال العلمي”، والباب الثالث بعنوان “تقاطعات وتشاكلات”، والباب الرابع موسوم بـ”نظرات في عبقرية الإبداع اللاتيني”. وأكّد الكاتب والمترجم المغربي نبيل موميد أن “هذا الكتاب يشكل فرصة من أجل الاطلاع على رؤى وحساسيات متعددة المشارب من مشارق الأرض ومغاربها من منظور متجدد، بما يتيح فهما جديدا لما كنا نظن أننا نفهمه”.
Docs\art-et-culture\document_171da93970d763ae8968d821fda6af46989bc329c31a179bb594222c826b7c67.txt,تداولت بعض الصفحات عبر منصات التواصل الاجتماعي أخبارا تفيد بعودة طاقم مسلسل “أحلام البنات” إلى موقع التصوير في سرية تامة، بعد أسابيع طويلة على توقفه بسبب مواجهته مشاكل عدة. وكشف مصدر خاص، في تصريح لهسبريس، أن الأخبار المتداولة غير صحيحة، إذ لم يتم بعد الشروع في تصوير الحلقات والمشاهد المتبقية، بعد تعليق التصوير في وقت سابق بسبب رفض قناة “إم بي سي مغرب” التي تعاقدت معها الشركة المنتجة بخصوص المشروع المشاهد الأولية التي توصلت بها، لعدم رضاها عن مستوى الإخراج. المصدر ذاته أضاف أن بعض المشاكل المادية هي الأخرى كانت سببا في التوقف الاضطراري لطاقم العمل، لكن من المرتقب العودة للتصوير بعد عيد الفطر. وسبق لهسبريس أن حاولت التواصل مع مخرجة المسلسل للاستفسار عن الموضوع، لكنها رفضت التعليق واكتفت بالقول: “لا أعرف شيئا”. ويحمل المسلسل عنوان “أحلام بنات”، وهو من تأليف مشترك ليحيى فاندي وعدنان موحجة، ويضم ثلة من ألمع نجوم الساحة الفنية المغربية، أبرزهم عبد الحق بلمجاهد، ساندية تاج الدين، ناصر أقباب، رضى العلوي، سلوى زرهان، ربيع الصقلي، وحنان الخضر التي عادت إلى الساحة بعد سنوات من الاعتزال.
Docs\art-et-culture\document_19a985d33da435a3b6d597b891045c0aec086a92e72e84acde17f8fc76371943.txt,دعا الفنان المغربي المهدي فولان “أصحاب رؤوس الأموال” إلى الاستثمار في الفن والثقافة؛ لأنه قطاع مربح كذلك وله إيرادات مهمة، مشددا على أن “ما ينقصنا بالمغرب، هو شْويّة دْيالْ الزعامة من قبل مّالينْ لفْلوسْ لرفع أعداد الأعمال والمشاريع الفنية بالمغرب”. وأوضح المهدي خلال مروره في برنامج المواجهة “FBM”، الذي يعده ويقدمه الإعلامي بلال مرميد ويبث على قناة “ميدي1 تيفي”، أن “ما ينقصنا هو القليل من الأعمال الفنية”، مبرزا أن “الفنان المغربي يحتاج فقط للأعمال ليثبت مكانته ويفتخر بها، أما باقي الأمور فهي ثانوية”. وجوابا على سؤال حول مدى توفير الفن متطلبات عيش الفنان المغربي، قال المهدي إنه يسير في المسار الصحيح ويحس بارتياح ويحاول تدبير حياته ومتطلباتها بالموازاة مع تدبير مسيرته الفنية، موردا: “معدناش ومخصناش”، مضيفا أن “العمل الفني تغير بين الأمس واليوم، حيث أصبح بإمكان الفنان المغربي إنجاز أربعة أعمال في السنة، وهذا فضل من الله”. وأبرز ضيف بلال مرميد أنه يرفض ربط وخلط كل ما هو سياسي بما هو فني، كما يرفض تعليق مشاكل الفن والفنانين على مشجب المسؤولين، وقال: “إذا كنا حنا ماشي متحدين وكنهرسوا فبعضياتنا فكيفاش غادي نجيبو شي ناس ومسؤولين يدافعوا علينا؟”. وصرح المتحدث ذاته بأنه لا يجد إحراجا في نسب ما وصل إليه الآن وما راكمه فنيا لوالده الفنان حسن فولان، موردا: “صحيح أن الموهبة هي هبة ربانية، لكن تحديد المسار والتخطيط كان لوالدي دور فاعل وفعال فيه”. واستحضر الفنان الشاب أولى خطواته على الركح وأول ظهور له فوق خشبة المسرح في عمر 10 سنوات ضمن مسرحية “العقل والسبورة” سنة 1993، واصفا هذه التجربة بأنها “محطة تأبى النسيان”، مؤكدا أنه طيلة مساره الفني لم يشتغل بالوساطة أو العلاقات، وأنه لا يؤمن بذلك. وبخصوص البروز السينمائي، قال المهدي فلان إن إحساسا يخالجه بدنو وقرب دور سينمائي مميز يمنحه وهجا يبرز من خلاله أحقيته في السينما، وتساءل: “هل عليّ أن أنتظر أكثر أم أبذل مجهودا مضاعفا؟ هنا يكمن اللبس”، غير أنه أعرب عن يقينه بأن هذا الدور قادم. ولا يمانع المهدي في الانتظار أكثر من أجل عيون السينما، وذلك بالموازاة مع الاشتغال في التلفزيون؛ لأن “الشاشة الفضية تسْتاهْلْ”. وبخصوص الإقبال على المسرح، قال المهدي: “للخشبة رهبة كبيرة، وأخشى أن يغلبني الركح”.
