Title,Date,URL,Category
اليمين المتطرف يرفض ترسيم وتدريس اللغة الأمازيغية بمدينة مليلية المحتلة,الإثنين 24 أبريل 2023 - 16:00,https://www.hespress.com/%d8%a7%d9%84%d9%8a%d9%85%d9%8a%d9%86-%d8%a7%d9%84%d9%85%d8%aa%d8%b7%d8%b1%d9%81-%d9%8a%d8%b1%d9%81%d8%b6-%d8%aa%d8%b1%d8%b3%d9%8a%d9%85-%d9%88%d8%aa%d8%af%d8%b1%d9%8a%d8%b3-%d8%a7%d9%84%d9%84%d8%ba-1159268.html,tamazight
"تمنارت: الثقافة الأمازيغية أصيلة في المغرب.. و""بابا علي"" يجذب المشاهدين",الأحد 23 أبريل 2023 - 07:00,https://www.hespress.com/%d8%aa%d9%85%d9%86%d8%a7%d8%b1%d8%aa-%d8%a7%d9%84%d8%ab%d9%82%d8%a7%d9%81%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a%d8%ba%d9%8a%d8%a9-%d8%a3%d8%b5%d9%8a%d9%84%d8%a9-%d9%81%d9%8a-%d8%a7%d9%84-1158611.html,tamazight
أمسية تكرّم الفنّان الرّاحل صارح إصفضاون,الأحد 16 أبريل 2023 - 11:05,https://www.hespress.com/%d8%a3%d9%85%d8%b3%d9%8a%d8%a9-%d8%aa%d9%83%d8%b1%d9%91%d9%85-%d8%a7%d9%84%d9%81%d9%86%d9%91%d8%a7%d9%86-%d8%a7%d9%84%d8%b1%d9%91%d8%a7%d8%ad%d9%84-%d8%b5%d8%a7%d8%b1%d8%ad-%d8%a5%d8%b5%d9%81%d8%b6-1155143.html,tamazight
تبعمرانت: ثقافة الأمازيغ ضحية للإجحاف,الأحد 16 أبريل 2023 - 10:20,https://www.hespress.com/%d8%aa%d8%a8%d8%b9%d9%85%d8%b1%d8%a7%d9%86%d8%aa-%d8%ab%d9%82%d8%a7%d9%81%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a%d8%ba-%d8%b6%d8%ad%d9%8a%d8%a9-%d9%84%d9%84%d8%a5%d8%ac%d8%ad%d8%a7%d9%81-1154954.html,tamazight
"""جبل الجليد"" يتميز في الدراما بالأمازيغية",السبت 15 أبريل 2023 - 11:12,https://www.hespress.com/%d8%ac%d8%a8%d9%84-%d8%a7%d9%84%d8%ac%d9%84%d9%8a%d8%af-%d9%8a%d8%aa%d9%85%d9%8a%d8%b2-%d9%81%d9%8a-%d8%a7%d9%84%d8%af%d8%b1%d8%a7%d9%85%d8%a7-%d8%a8%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a-1154662.html,tamazight
"مؤلف يسافر في تاريخ ""صورة الأمازيغ""",السبت 8 أبريل 2023 - 04:28,https://www.hespress.com/%d9%85%d8%a4%d9%84%d9%81-%d9%8a%d8%b3%d8%a7%d9%81%d8%b1-%d9%81%d9%8a-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae-%d8%b5%d9%88%d8%b1%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a%d8%ba-1150847.html,tamazight
المعهد الملكي للثقافة الأمازيغية يكرم وعزي,الأربعاء 5 أبريل 2023 - 05:18,https://www.hespress.com/%d8%a7%d9%84%d9%85%d8%b9%d9%87%d8%af-%d8%a7%d9%84%d9%85%d9%84%d9%83%d9%8a-%d9%84%d9%84%d8%ab%d9%82%d8%a7%d9%81%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a%d8%ba%d9%8a%d8%a9-%d9%8a%d9%83%d8%b1-1149293.html,tamazight
"القناة الأمازيغية تعرض فيلم ""نثار الشوك""",الإثنين 3 أبريل 2023 - 08:28,https://www.hespress.com/%d8%a7%d9%84%d9%82%d9%86%d8%a7%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a%d8%ba%d9%8a%d8%a9-%d8%aa%d8%b9%d8%b1%d8%b6-%d9%81%d9%8a%d9%84%d9%85-%d9%86%d8%ab%d8%a7%d8%b1-%d8%a7%d9%84%d8%b4%d9%88-1147893.html,tamazight
تراجع الإقبال على الأمازيغية يعيد نقاش تسقيف سن التوظيف في التعليم,السبت 1 أبريل 2023 - 06:00,https://www.hespress.com/%d8%aa%d8%b1%d8%a7%d8%ac%d8%b9-%d8%a7%d9%84%d8%a5%d9%82%d8%a8%d8%a7%d9%84-%d8%b9%d9%84%d9%89-%d8%b4%d8%b9%d8%a8%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a%d8%ba%d9%8a%d8%a9-%d9%8a%d8%ac%d8%af-1146897.html,tamazight
الدراما الأمازيغية تنافس في برامج رمضان,الأربعاء 29 مارس 2023 - 18:55,https://www.hespress.com/%d8%a7%d9%84%d8%af%d8%b1%d8%a7%d9%85%d8%a7-%d8%a7%d9%84%d8%a3%d9%85%d8%a7%d8%b2%d9%8a%d8%ba%d9%8a%d8%a9-%d8%aa%d9%86%d8%a7%d9%81%d8%b3-%d9%81%d9%8a-%d8%a8%d8%b1%d8%a7%d9%85%d8%ac-%d8%b1%d9%85%d8%b6-1146043.html,tamazight
